100000 2 3 
B	i	0.366719 	0.159453 	0.057368 
L	a	0.346768 	0.897554 	0.311127 
K	d	0.310270 	0.227637 	0.975662 
B	c	0.336450 	0.160789 	0.501420 
D	a	0.481866 	0.349985 	0.769065 
Q	a	0.577746 	0.826226 	0.590133 
B	c	0.615479 	0.507333 	0.195318 
A	a	0.943266 	0.762078 	0.187159 
C	f	0.827438 	0.395890 	0.402741 
A	b	0.833301 	0.211604 	0.949575 
I	c	0.889260 	0.353314 	0.304197 
D	b	0.171706 	0.636821 	0.766450 
E	s	0.485414 	0.328961 	0.293371 
J	b	0.548759 	0.467486 	0.197629 
E	e	0.832610 	0.310284 	0.473928 
G	b	0.824904 	0.483721 	0.936242 
A	l	0.084578 	0.349913 	0.450226 
A	m	0.600039 	0.124667 	0.481450 
F	w	0.004495 	0.863901 	0.415470 
F	m	0.018121 	0.447216 	0.277677 
A	b	0.383539 	0.720054 	0.331596 
F	b	0.003323 	0.805234 	0.497027 
A	e	0.784289 	0.369346 	0.417637 
B	l	0.428178 	0.651739 	0.387647 
V	a	0.916930 	0.138021 	0.947941 
D	h	0.621368 	0.563875 	0.510178 
H	a	0.603014 	0.281893 	0.704806 
A	n	0.997988 	0.419119 	0.599753 
C	c	0.467181 	0.220650 	0.382798 
H	i	0.174246 	0.726446 	0.900582 
C	e	0.192934 	0.950552 	0.498746 
B	l	0.619578 	0.462775 	0.277976 
E	e	0.673318 	0.111119 	0.558766 
I	c	0.298010 	0.591184 	0.416143 
C	h	0.487756 	0.819100 	0.244917 
A	a	0.265078 	0.820505 	0.827025 
B	c	0.381577 	0.562720 	0.781283 
H	c	0.234181 	0.749672 	0.468466 
T	a	0.438060 	0.775745 	0.942781 
D	b	0.361641 	0.705184 	0.133158 
B	b	0.531975 	0.707412 	0.700993 
L	d	0.546208 	0.271180 	0.862309 
H	b	0.074231 	0.711791 	0.260551 
A	b	0.816202 	0.976765 	0.437782 
A	a	0.308086 	0.422183 	0.524963 
M	d	0.342149 	0.142010 	0.500679 
A	s	0.394055 	0.460782 	0.252150 
H	f	0.235242 	0.363979 	0.565610 
D	a	0.449393 	0.494377 	0.103334 
K	a	0.961370 	0.093660 	0.975960 
B	d	0.793224 	0.201071 	0.901140 
C	a	0.906804 	0.712938 	0.240719 
A	j	0.202171 	0.249551 	0.605739 
C	c	0.474149 	0.672502 	0.819867 
A	i	0.654034 	0.924593 	0.436911 
H	a	0.398332 	0.690647 	0.343449 
C	d	0.320212 	0.505707 	0.315598 
B	s	0.572873 	0.346140 	0.418903 
C	a	0.280814 	0.951934 	0.607047 
M	d	0.478102 	0.118488 	0.569566 
A	c	0.568573 	0.357590 	0.836288 
A	e	0.655373 	0.364870 	0.834130 
D	b	0.697552 	0.494044 	0.138000 
Q	c	0.858435 	0.377790 	0.605434 
F	c	0.248971 	0.705314 	0.464967 
I	c	0.545358 	0.608023 	0.293003 
B	j	0.286331 	0.485693 	0.238029 
B	i	0.503446 	0.447661 	0.495155 
B	n	0.576619 	0.028668 	0.909395 
A	a	0.599537 	0.679468 	0.779246 
A	c	0.750766 	0.322961 	0.868726 
F	a	0.399761 	0.359947 	0.954730 
B	i	0.483198 	0.387058 	0.538566 
B	c	0.725003 	0.468353 	0.513008 
G	d	0.308756 	0.999359 	0.226114 
D	s	0.249256 	0.617168 	0.910357 
I	c	0.307752 	0.772688 	0.277289 
I	a	0.581327 	0.640165 	0.475442 
B	e	0.399804 	0.991273 	0.301699 
A	k	0.147613 	0.617877 	0.281567 
D	c	0.624150 	0.475781 	0.777259 
C	d	0.541349 	0.218369 	0.847710 
E	b	0.581331 	0.091238 	0.370551 
D	b	0.796278 	0.363590 	0.803053 
E	a	0.533308 	0.642166 	0.784130 
G	g	0.236229 	0.402289 	0.648058 
A	e	0.649705 	0.476845 	0.819127 
A	j	0.358525 	0.131819 	0.832257 
D	r	0.379356 	0.610783 	0.088692 
A	b	0.643566 	0.674708 	0.856738 
A	k	0.070429 	0.830135 	0.113180 
D	d	0.396670 	0.279194 	0.574371 
G	b	0.793602 	0.291735 	0.608780 
H	b	0.351530 	0.812145 	0.246234 
A	x	0.771852 	0.661235 	0.009166 
A	h	0.254900 	0.243372 	0.638705 
F	d	0.512207 	0.075299 	0.653402 
C	h	0.524052 	0.074554 	0.618283 
H	a	0.386742 	0.801344 	0.034197 
B	f	0.319695 	0.978899 	0.456841 
B	j	0.154404 	0.903956 	0.285199 
F	a	0.153939 	0.654540 	0.546466 
L	d	0.214645 	0.266542 	0.564881 
C	a	0.704264 	0.241156 	0.541930 
R	a	0.743644 	0.252367 	0.428375 
B	d	0.626670 	0.681007 	0.280607 
L	b	0.486426 	0.398172 	0.428984 
E	a	0.699219 	0.787849 	0.505711 
E	a	0.189558 	0.607860 	0.512520 
B	a	0.667386 	0.987480 	0.006855 
C	b	0.373312 	0.331204 	0.266757 
D	d	0.100319 	0.913564 	0.547750 
B	i	0.454342 	0.358723 	0.740087 
A	b	0.576863 	0.559706 	0.820371 
D	a	0.130921 	0.642534 	0.431101 
B	c	0.485298 	0.921502 	0.167021 
B	d	0.395708 	0.987963 	0.570668 
M	b	0.024433 	0.971900 	0.081331 
A	g	0.258715 	0.893917 	0.502327 
J	b	0.937060 	0.360178 	0.712809 
K	g	0.550873 	0.633119 	0.655017 
X	a	0.555685 	0.369665 	0.718298 
F	b	0.603652 	0.261306 	0.829282 
Q	f	0.959301 	0.316902 	0.385115 
E	q	0.050023 	0.957469 	0.867990 
C	o	0.434806 	0.132479 	0.673289 
B	x	0.318657 	0.424753 	0.757044 
J	d	0.639911 	0.624686 	0.154019 
P	l	0.081981 	0.906616 	0.155548 
H	b	0.048923 	0.600742 	0.602159 
N	d	0.214943 	0.452383 	0.985975 
A	j	0.739526 	0.163838 	0.623170 
C	b	0.756533 	0.649871 	0.872480 
C	a	0.321472 	0.261681 	0.982272 
C	g	0.245043 	0.986780 	0.287064 
C	s	0.742062 	0.083079 	0.929794 
S	a	0.224415 	0.541676 	0.735567 
L	d	0.216351 	0.603200 	0.349004 
B	a	0.850174 	0.297250 	0.493804 
V	b	0.408360 	0.356059 	0.732283 
H	a	0.438787 	0.610005 	0.820486 
C	l	0.473595 	0.195622 	0.515263 
B	a	0.993261 	0.235593 	0.742335 
F	f	0.144280 	0.721072 	0.196377 
P	b	0.676594 	0.370624 	0.091655 
I	b	0.476306 	0.879795 	0.507736 
A	v	0.517179 	0.437836 	0.414943 
N	a	0.145863 	0.921181 	0.035474 
V	d	0.094150 	0.570435 	0.688856 
G	r	0.439702 	0.682483 	0.804607 
A	j	0.634821 	0.046087 	0.918760 
E	p	0.416491 	0.336825 	0.722384 
T	a	0.430006 	0.404191 	0.840858 
V	d	0.637609 	0.594389 	0.106086 
D	i	0.303914 	0.582393 	0.642132 
H	e	0.132118 	0.933890 	0.187260 
H	a	0.106298 	0.872534 	0.481204 
H	a	0.142920 	0.722290 	0.793139 
D	n	0.635575 	0.269687 	0.605485 
G	d	0.157660 	0.856973 	0.121916 
E	d	0.245968 	0.786927 	0.383882 
B	t	0.709416 	0.354789 	0.176256 
B	c	0.953187 	0.359719 	0.474389 
E	a	0.267532 	0.521365 	0.206869 
B	a	0.505580 	0.992927 	0.112203 
F	a	0.963245 	0.041556 	0.892097 
E	q	0.155358 	0.445567 	0.613537 
A	v	0.429030 	0.595187 	0.603638 
D	e	0.737462 	0.020677 	0.493189 
B	f	0.906472 	0.514144 	0.475206 
E	i	0.791752 	0.162380 	0.643458 
E	b	0.645086 	0.742808 	0.585144 
A	w	0.057827 	0.753607 	0.525164 
I	b	0.541459 	0.715710 	0.305396 
I	b	0.024147 	0.453701 	0.737276 
A	k	0.776450 	0.808165 	0.373349 
E	a	0.396643 	0.217067 	0.645694 
R	c	0.469039 	0.795299 	0.054923 
T	a	0.419973 	0.165929 	0.869954 
R	a	0.016894 	0.725878 	0.745937 
A	f	0.860894 	0.370546 	0.863682 
A	f	0.701151 	0.331779 	0.645392 
J	j	0.268818 	0.258659 	0.414750 
B	d	0.364940 	0.235362 	0.305538 
E	n	0.337255 	0.706320 	0.541411 
B	h	0.304964 	0.833576 	0.800617 
D	d	0.310497 	0.050943 	0.712846 
W	a	0.492007 	0.454598 	0.340970 
C	h	0.324282 	0.215810 	0.745987 
A	m	0.456924 	0.299643 	0.256356 
C	e	0.613482 	0.705693 	0.068903 
E	a	0.164183 	0.377661 	0.905119 
R	j	0.445582 	0.514085 	0.229438 
O	a	0.775352 	0.182527 	0.345966 
P	b	0.513693 	0.398789 	0.570378 
D	b	0.861868 	0.758582 	0.653646 
A	a	0.434837 	0.422044 	0.773036 
B	f	0.073033 	0.448327 	0.902549 
F	p	0.458390 	0.389134 	0.844846 
P	a	0.359122 	0.804652 	0.540053 
R	l	0.622087 	0.180855 	0.098256 
F	u	0.024096 	0.766600 	0.154056 
A	g	0.823745 	0.883376 	0.342914 
D	b	0.696495 	0.476627 	0.876518 
E	f	0.633071 	0.341659 	0.775175 
C	n	0.375540 	0.813806 	0.322557 
C	d	0.532864 	0.069518 	0.922821 
B	a	0.554687 	0.057704 	0.865070 
H	h	0.405711 	0.240798 	0.795632 
B	a	0.528291 	0.459108 	0.376665 
D	k	0.240013 	0.712284 	0.721084 
E	a	0.159145 	0.893137 	0.339622 
G	f	0.553467 	0.436215 	0.343282 
X	j	0.536454 	0.253900 	0.461285 
E	t	0.262281 	0.299279 	0.425279 
M	f	0.318735 	0.838907 	0.498969 
A	d	0.542876 	0.153036 	0.999775 
K	a	0.506639 	0.592335 	0.564764 
A	b	0.688564 	0.489390 	0.086225 
A	a	0.842413 	0.402600 	0.533196 
F	d	0.277404 	0.751871 	0.125770 
C	e	0.461939 	0.430691 	0.420013 
I	a	0.565367 	0.377166 	0.696897 
A	c	0.670244 	0.662702 	0.272374 
I	f	0.092958 	0.373184 	0.687297 
H	b	0.758599 	0.233613 	0.831787 
M	g	0.648847 	0.103448 	0.793234 
N	j	0.277214 	0.484670 	0.473780 
I	c	0.541458 	0.646776 	0.447120 
B	a	0.917527 	0.809941 	0.134141 
B	b	0.470586 	0.050994 	0.697550 
C	e	0.218953 	0.451059 	0.945305 
D	f	0.687247 	0.499711 	0.304106 
D	p	0.097551 	0.289622 	0.918637 
B	d	0.927695 	0.391429 	0.146504 
C	c	0.754669 	0.504816 	0.074111 
L	d	0.008925 	0.553877 	0.691400 
P	a	0.415191 	0.734411 	0.029617 
A	d	0.672543 	0.830649 	0.162523 
A	f	0.563009 	0.239090 	0.651093 
D	a	0.385704 	0.726472 	0.026703 
B	i	0.700316 	0.544197 	0.314792 
A	i	0.415760 	0.768351 	0.097349 
G	d	0.318900 	0.625554 	0.490180 
E	f	0.145358 	0.239832 	0.397856 
D	n	0.220330 	0.365836 	0.787037 
A	l	0.397440 	0.550094 	0.728392 
D	g	0.270287 	0.584866 	0.635881 
K	a	0.815005 	0.493809 	0.936562 
B	d	0.483797 	0.516022 	0.477775 
K	c	0.305183 	0.872034 	0.227898 
C	k	0.318570 	0.408537 	0.503515 
F	q	0.325993 	0.145883 	0.762209 
B	a	0.859280 	0.286296 	0.172442 
U	b	0.379268 	0.978481 	0.905982 
A	i	0.368634 	0.771534 	0.232192 
A	b	0.357092 	0.506420 	0.327065 
D	a	0.685068 	0.209530 	0.779450 
B	b	0.380651 	0.656263 	0.527718 
B	g	0.319495 	0.198167 	0.942138 
L	q	0.209831 	0.333165 	0.675121 
L	j	0.559698 	0.257888 	0.536588 
K	a	0.577997 	0.582602 	0.416517 
I	l	0.644741 	0.312963 	0.551151 
S	e	0.804570 	0.307982 	0.640278 
K	f	0.422951 	0.574612 	0.416108 
K	a	0.343232 	0.648896 	0.401139 
J	a	0.916052 	0.330769 	0.309769 
K	a	0.775563 	0.315124 	0.553510 
B	c	0.995977 	0.738968 	0.298220 
A	k	0.173473 	0.830128 	0.458672 
E	a	0.241797 	0.481628 	0.624947 
C	g	0.421647 	0.122272 	0.795989 
I	i	0.574970 	0.094907 	0.665719 
N	h	0.347422 	0.771787 	0.170911 
O	g	0.541701 	0.044917 	0.834371 
F	f	0.317383 	0.435121 	0.742624 
A	m	0.514722 	0.376922 	0.325761 
B	s	0.428776 	0.222358 	0.498933 
A	b	0.354814 	0.742500 	0.000468 
H	a	0.745646 	0.103640 	0.639019 
A	d	0.642163 	0.757061 	0.345292 
B	d	0.768583 	0.542277 	0.151828 
C	w	0.003727 	0.472190 	0.666259 
B	k	0.581957 	0.971348 	0.200272 
A	f	0.539287 	0.727132 	0.952973 
E	a	0.665449 	0.248901 	0.383816 
A	t	0.777970 	0.338500 	0.832537 
U	c	0.402912 	0.434429 	0.282116 
K	h	0.156657 	0.746687 	0.962690 
A	b	0.932702 	0.288178 	0.781338 
A	b	0.427331 	0.933650 	0.421207 
D	c	0.679304 	0.239999 	0.203417 
B	o	0.611196 	0.201516 	0.521896 
C	a	0.213857 	0.823677 	0.440372 
J	d	0.217396 	0.804230 	0.330232 
C	g	0.691826 	0.488949 	0.989724 
C	a	0.361931 	0.555874 	0.396468 
C	c	0.861043 	0.317153 	0.387340 
F	s	0.607149 	0.401657 	0.496750 
H	a	0.648670 	0.645284 	0.878692 
P	a	0.744836 	0.570265 	0.073503 
A	b	0.475162 	0.983414 	0.219787 
A	d	0.618750 	0.474934 	0.658876 
J	e	0.015453 	0.756975 	0.143787 
F	b	0.412735 	0.200642 	0.337813 
S	h	0.185510 	0.397006 	0.669234 
B	n	0.462784 	0.831037 	0.206476 
H	d	0.623875 	0.238654 	0.480554 
C	k	0.532027 	0.113466 	0.563905 
C	w	0.226320 	0.545710 	0.648273 
C	e	0.789145 	0.967422 	0.198430 
D	c	0.086421 	0.898497 	0.305804 
C	a	0.852918 	0.440559 	0.207478 
R	a	0.787958 	0.353286 	0.622213 
A	a	0.804733 	0.028731 	0.728009 
J	g	0.566180 	0.501177 	0.481051 
H	e	0.227084 	0.574164 	0.408048 
P	k	0.283752 	0.432517 	0.111789 
O	b	0.831240 	0.347501 	0.532684 
I	f	0.049490 	0.346773 	0.735101 
D	c	0.808791 	0.123656 	0.334976 
J	b	0.062064 	0.722558 	0.942658 
C	a	0.376358 	0.209129 	0.674760 
B	k	0.461266 	0.517096 	0.531004 
G	b	0.020348 	0.233821 	0.475066 
D	g	0.722121 	0.003038 	0.897809 
P	i	0.809574 	0.592816 	0.234049 
K	b	0.430293 	0.340640 	0.782951 
K	a	0.617363 	0.362922 	0.936007 
D	a	0.517910 	0.434393 	0.864049 
A	g	0.108421 	0.318210 	0.571740 
A	l	0.348721 	0.421903 	0.453972 
V	a	0.547703 	0.110101 	0.589990 
F	a	0.993029 	0.413272 	0.207815 
B	v	0.446347 	0.550758 	0.061133 
D	a	0.483963 	0.918225 	0.527438 
B	i	0.363614 	0.856733 	0.886716 
L	a	0.957125 	0.129758 	0.046127 
I	k	0.182398 	0.591265 	0.334162 
B	b	0.554678 	0.530765 	0.661619 
G	a	0.249605 	0.604873 	0.126752 
C	e	0.646329 	0.580618 	0.241623 
B	b	0.133657 	0.628906 	0.642206 
C	h	0.169922 	0.720146 	0.603967 
A	k	0.457950 	0.216266 	0.737601 
E	r	0.848403 	0.572849 	0.415519 
C	a	0.394287 	0.875320 	0.414349 
D	c	0.972856 	0.257563 	0.082045 
L	a	0.547813 	0.932649 	0.138829 
C	g	0.481022 	0.209529 	0.730763 
S	a	0.707641 	0.687715 	0.336562 
F	c	0.339849 	0.970996 	0.409376 
C	a	0.586521 	0.520422 	0.416291 
H	h	0.520057 	0.883567 	0.467313 
V	a	0.369109 	0.048740 	0.889403 
A	a	0.679071 	0.682383 	0.528336 
B	d	0.604795 	0.935267 	0.457974 
D	c	0.547212 	0.408746 	0.285524 
D	e	0.693810 	0.772100 	0.123883 
A	a	0.945706 	0.864239 	0.492045 
A	a	0.685041 	0.716480 	0.259178 
C	e	0.299980 	0.944399 	0.803847 
F	c	0.848109 	0.485834 	0.264402 
N	d	0.118178 	0.126299 	0.344987 
C	p	0.684821 	0.594060 	0.189594 
V	a	0.845484 	0.332440 	0.443290 
F	m	0.305448 	0.411056 	0.119455 
E	h	0.108901 	0.816506 	0.168218 
M	c	0.507206 	0.428583 	0.289133 
E	c	0.960046 	0.373471 	0.350324 
A	f	0.516601 	0.235665 	0.479947 
E	b	0.308867 	0.365102 	0.517361 
E	c	0.432944 	0.667932 	0.828437 
J	b	0.500442 	0.486199 	0.519311 
B	b	0.237044 	0.749548 	0.579089 
A	f	0.555046 	0.382571 	0.715599 
B	k	0.292818 	0.400126 	0.072566 
C	e	0.267991 	0.764731 	0.480807 
C	b	0.757082 	0.424362 	0.432288 
A	s	0.317357 	0.908135 	0.759493 
B	c	0.564110 	0.955672 	0.177445 
A	m	0.629968 	0.780760 	0.402872 
R	e	0.206871 	0.270799 	0.762382 
T	b	0.152172 	0.950501 	0.472616 
B	f	0.512158 	0.289228 	0.745240 
C	f	0.520411 	0.288589 	0.331509 
A	f	0.530350 	0.966435 	0.149489 
A	f	0.639425 	0.344652 	0.206813 
B	a	0.884076 	0.836451 	0.024172 
J	k	0.672708 	0.576587 	0.273413 
C	a	0.995253 	0.566229 	0.009008 
N	c	0.530766 	0.810662 	0.397410 
J	b	0.818784 	0.125318 	0.163393 
R	c	0.568226 	0.273003 	0.252855 
D	b	0.353377 	0.732283 	0.476529 
H	b	0.214273 	0.453760 	0.725551 
T	b	0.580186 	0.420239 	0.351529 
B	k	0.857763 	0.030938 	0.189972 
E	e	0.139411 	0.308756 	0.616840 
W	a	0.563172 	0.824122 	0.785436 
G	p	0.393260 	0.505053 	0.509316 
C	f	0.850436 	0.134243 	0.338904 
B	u	0.383639 	0.871818 	0.156043 
A	g	0.730039 	0.102520 	0.408266 
C	e	0.092202 	0.432221 	0.818627 
I	a	0.455654 	0.666376 	0.555048 
A	h	0.663354 	0.473766 	0.421741 
P	b	0.467042 	0.567701 	0.044063 
C	q	0.450775 	0.675470 	0.535919 
S	g	0.771991 	0.502138 	0.211097 
D	b	0.433711 	0.285268 	0.903668 
E	c	0.457767 	0.159545 	0.652898 
D	g	0.285277 	0.363641 	0.645809 
P	e	0.724693 	0.284659 	0.144815 
B	e	0.156309 	0.922089 	0.148053 
O	b	0.299541 	0.337925 	0.480184 
M	b	0.399996 	0.459574 	0.986920 
A	t	0.093360 	0.655504 	0.390314 
N	b	0.808224 	0.258313 	0.132872 
H	q	0.216332 	0.499859 	0.029136 
Q	b	0.920412 	0.214024 	0.782543 
Q	a	0.505487 	0.175469 	0.214192 
A	g	0.271173 	0.983388 	0.026121 
N	a	0.243775 	0.689674 	0.223931 
J	x	0.245286 	0.423772 	0.417695 
E	b	0.527552 	0.250328 	0.306509 
G	l	0.624898 	0.226770 	0.353695 
A	d	0.556075 	0.759316 	0.677089 
G	r	0.110750 	0.809715 	0.618364 
L	c	0.012987 	0.848200 	0.009839 
F	j	0.652351 	0.438988 	0.179188 
A	j	0.580022 	0.091789 	0.749387 
H	p	0.500683 	0.063606 	0.062343 
O	a	0.837638 	0.250882 	0.531121 
B	c	0.678057 	0.674923 	0.642023 
C	d	0.598838 	0.602440 	0.323950 
B	b	0.331675 	0.514748 	0.545789 
F	d	0.024033 	0.763945 	0.452032 
E	b	0.861516 	0.651757 	0.163008 
D	a	0.473478 	0.287276 	0.702730 
I	e	0.216692 	0.534094 	0.255391 
H	e	0.267893 	0.498050 	0.564282 
F	f	0.616739 	0.343437 	0.563451 
H	h	0.338977 	0.520049 	0.928336 
B	i	0.512348 	0.137047 	0.839524 
C	b	0.469104 	0.429717 	0.950152 
E	n	0.444975 	0.903983 	0.495524 
H	a	0.455322 	0.890984 	0.804525 
B	c	0.187004 	0.766712 	0.281806 
G	g	0.665342 	0.344867 	0.255182 
A	e	0.084410 	0.703708 	0.913502 
A	a	0.710112 	0.765042 	0.812307 
H	a	0.187896 	0.927613 	0.638129 
A	j	0.013769 	0.710905 	0.551689 
C	b	0.912575 	0.376991 	0.461543 
B	v	0.696570 	0.412213 	0.536289 
A	j	0.679398 	0.050965 	0.665362 
B	f	0.249526 	0.378661 	0.696217 
D	d	0.539033 	0.520576 	0.629285 
L	b	0.886630 	0.172389 	0.707122 
A	a	0.759180 	0.502764 	0.903798 
G	a	0.304037 	0.819942 	0.062033 
K	a	0.221966 	0.878506 	0.022987 
H	g	0.635521 	0.563131 	0.083215 
B	d	0.406117 	0.828749 	0.290852 
C	c	0.723815 	0.201958 	0.546020 
G	d	0.684322 	0.646782 	0.453462 
V	c	0.243376 	0.879781 	0.485554 
A	c	0.726145 	0.354335 	0.144678 
H	d	0.488006 	0.343211 	0.973800 
C	h	0.283561 	0.211179 	0.992325 
A	n	0.966452 	0.308534 	0.598372 
J	m	0.374023 	0.285233 	0.859841 
A	l	0.332449 	0.077388 	0.815788 
A	c	0.980062 	0.500371 	0.144287 
A	d	0.884088 	0.788161 	0.483182 
A	a	0.678931 	0.481222 	0.544759 
I	a	0.754925 	0.245942 	0.577771 
C	h	0.275116 	0.902050 	0.349444 
A	v	0.265780 	0.053576 	0.563704 
P	a	0.492351 	0.303668 	0.867616 
H	a	0.334852 	0.168246 	0.924651 
B	c	0.545241 	0.813693 	0.133568 
C	b	0.713015 	0.183441 	0.889044 
B	h	0.492373 	0.351308 	0.627543 
C	e	0.384021 	0.272045 	0.432107 
P	d	0.603703 	0.022688 	0.837433 
B	e	0.068830 	0.614617 	0.817510 
F	b	0.206415 	0.416383 	0.552802 
B	c	0.456833 	0.804826 	0.698862 
F	c	0.410270 	0.890524 	0.246361 
C	a	0.530631 	0.733362 	0.454886 
T	a	0.920406 	0.382854 	0.703368 
F	a	0.800939 	0.752404 	0.334820 
I	f	0.228410 	0.403891 	0.577791 
B	i	0.636766 	0.826114 	0.294796 
B	v	0.329931 	0.577093 	0.243258 
C	m	0.882841 	0.207079 	0.386184 
A	d	0.866680 	0.224957 	0.329504 
D	l	0.194246 	0.319858 	0.841394 
C	a	0.922246 	0.424089 	0.863562 
G	a	0.961615 	0.487007 	0.313995 
A	e	0.766499 	0.431395 	0.487958 
L	a	0.380541 	0.963772 	0.246117 
B	c	0.499764 	0.401275 	0.375362 
K	l	0.526042 	0.294165 	0.508278 
B	e	0.832523 	0.753398 	0.703005 
C	j	0.493573 	0.167893 	0.180654 
D	f	0.261204 	0.564767 	0.601627 
A	f	0.090509 	0.997399 	0.092134 
P	b	0.401043 	0.539488 	0.856358 
A	a	0.519167 	0.688765 	0.649296 
B	h	0.092237 	0.980405 	0.340874 
C	i	0.739431 	0.169960 	0.773274 
D	b	0.322329 	0.506162 	0.135509 
D	h	0.049333 	0.874678 	0.556295 
C	a	0.707429 	0.726553 	0.356579 
M	a	0.945092 	0.942444 	0.180005 
N	a	0.739556 	0.438754 	0.606051 
C	a	0.440738 	0.865055 	0.388849 
C	e	0.471063 	0.003960 	0.225698 
H	j	0.449822 	0.803800 	0.378113 
F	c	0.784939 	0.512141 	0.654314 
L	a	0.591647 	0.622850 	0.394678 
D	v	0.694823 	0.299393 	0.673307 
E	b	0.874484 	0.630847 	0.286451 
B	r	0.363825 	0.524222 	0.077951 
M	b	0.362172 	0.592325 	0.526162 
E	a	0.676563 	0.592116 	0.323259 
B	g	0.091531 	0.911975 	0.118712 
C	b	0.204995 	0.903968 	0.593396 
B	a	0.775812 	0.445280 	0.770656 
U	b	0.912357 	0.408375 	0.246745 
Q	a	0.536458 	0.532994 	0.881926 
A	b	0.764196 	0.359117 	0.678272 
W	a	0.406530 	0.603613 	0.907751 
C	c	0.557297 	0.406952 	0.715588 
C	b	0.856635 	0.892178 	0.319432 
E	a	0.684830 	0.349291 	0.585189 
M	a	0.482472 	0.983360 	0.333859 
F	a	0.433043 	0.465653 	0.985569 
R	a	0.116880 	0.992639 	0.645261 
A	d	0.834057 	0.036044 	0.434374 
B	p	0.535031 	0.369931 	0.145921 
A	c	0.482576 	0.968342 	0.249583 
A	j	0.659671 	0.203224 	0.986000 
B	a	0.429077 	0.451593 	0.820363 
B	b	0.073806 	0.853658 	0.620237 
B	p	0.401386 	0.280560 	0.515144 
B	u	0.031272 	0.249464 	0.862012 
L	d	0.204583 	0.914097 	0.483273 
S	c	0.167472 	0.670737 	0.472805 
N	r	0.186988 	0.931551 	0.114281 
C	c	0.771527 	0.705950 	0.138415 
W	a	0.181938 	0.949397 	0.395253 
E	a	0.564835 	0.729298 	0.197781 
A	c	0.352714 	0.231326 	0.319349 
B	a	0.575707 	0.209455 	0.852759 
V	b	0.496815 	0.250814 	0.103954 
A	d	0.559914 	0.397151 	0.424502 
B	c	0.567216 	0.322876 	0.845004 
E	d	0.635210 	0.265191 	0.668748 
D	e	0.300453 	0.047464 	0.443162 
D	x	0.360108 	0.891275 	0.308672 
L	a	0.731594 	0.539966 	0.302869 
H	q	0.464792 	0.210964 	0.996489 
K	c	0.381173 	0.772798 	0.594622 
J	c	0.204018 	0.411610 	0.574772 
H	e	0.846195 	0.194841 	0.901490 
M	d	0.363833 	0.772896 	0.438713 
E	a	0.311465 	0.625143 	0.717126 
F	c	0.908421 	0.048489 	0.886781 
M	d	0.506744 	0.116823 	0.706032 
R	i	0.730635 	0.310549 	0.405407 
I	w	0.227666 	0.019911 	0.430105 
H	b	0.879949 	0.255217 	0.591258 
E	a	0.363295 	0.799759 	0.085060 
A	e	0.054883 	0.236869 	0.412491 
C	c	0.474953 	0.595197 	0.187455 
A	d	0.717267 	0.039850 	0.546440 
G	h	0.536089 	0.015194 	0.690713 
