100000	2	3		
Z	Y	0	0.742252	0
A	E	0.815883	0.114212	0
C	Y	0.799705	0.518397	0.31027
A	Y	0	0	0
B	E	0.506151	0.023416	0
B	E	0.910829	0.005941	0.577746
A	F	0.280806	0.439292	0.615479
C	Y	0.101531	0.202534	0.943266
Z	E	0	0.606136	0.827438
A	Y	0.018939	0.265188	0.833301
Z	Y	0.741687	0.401498	0
Z	E	0.491337	0.298638	0.171706
A	E	0	0.930413	0
A	H	0.768316	0.27937	0
A	F	0	0.586443	0.83261
A	Y	0	0.362816	0
Z	Y	0.063279	0.812394	0
Z	E	0	0	0.600039
Z	Y	0	0.987989	0.004495
A	E	0.617423	0.834576	0.018121
B	E	0.184476	0.343389	0.383539
A	Y	0.623329	0.394574	0.003323
Z	Y	0.066589	0.595597	0
Z	G	0.390012	0.812169	0.428178
Z	Y	0.97471	0	0.91693
A	Y	0.487449	0.696002	0.621368
A	E	0.718956	0.20442	0.603014
Z	G	0.182351	0.842723	0
Z	Y	0.467636	0.404645	0
A	E	0.706529	0	0.174246
A	H	0	0	0.192934
C	E	0	0	0.619578
A	G	0.576824	0.581816	0.673318
B	E	0	0.464706	0.29801
A	E	0.479361	0.694389	0
Z	F	0	0.201905	0
Z	E	0.284006	0.435856	0.381577
Z	E	0	0	0
A	E	0.940977	0.071684	0.43806
C	Y	0.50017	0.278309	0.361641
A	Y	0.349757	0	0
A	F	0	0.521285	0.546208
B	Y	0.689065	0.270638	0.074231
B	F	0.102852	0.266485	0.816202
Z	G	0	0	0.308086
A	Y	0.833488	0.52174	0
C	F	0.013251	0.932985	0.394055
Z	H	0.702272	0.624058	0.235242
B	G	0.498006	0	0.449393
Z	Y	0	0	0.96137
B	G	0.314468	0.520439	0.793224
C	G	0	0.096093	0
C	E	0.177304	0.762428	0.202171
A	E	0.400725	0.483271	0
D	Y	0	0	0.654034
A	Y	0.689355	0.033861	0
A	H	0.455396	0.528792	0
B	G	0.285426	0.931601	0.572873
A	Y	0	0.051917	0.280814
B	Y	0	0.511685	0.478102
C	Y	0.255375	0.464849	0.568573
Z	H	0.10416	0.571718	0
A	G	0.513857	0.320667	0.697552
A	F	0.906755	0.42569	0
Z	E	0	0.432289	0
B	H	0.733715	0	0.545358
Z	Y	0.3934	0	0.286331
A	F	0.283689	0	0.503446
C	Y	0.313281	0.846652	0.576619
Z	E	0.099601	0.011527	0.599537
C	E	0.127984	0.465874	0.750766
B	E	0.640915	0.219267	0
Z	Y	0	0.733453	0.483198
D	E	0.34896	0.459561	0
A	G	0	0	0.308756
B	E	0	0.937485	0.249256
Z	Y	0.748369	0.46111	0.307752
B	F	0.741578	0	0.581327
Z	G	0	0.593131	0
B	F	0.029982	0	0.147613
A	F	0	0.448153	0
A	F	0.414176	0.522555	0.541349
A	H	0	0	0.581331
Z	G	0.492172	0.33531	0.796278
B	F	0	0	0.533308
Z	E	0.680386	0.680271	0
B	G	0.153149	0.569354	0
Z	G	0.19877	0	0
B	E	0.489924	0.919352	0.379356
Z	G	0.117414	0.269955	0.643566
B	E	0	0.791094	0.070429
B	E	0.512328	0	0.39667
C	E	0	0	0.793602
B	Y	0.70688	0	0.35153
Z	E	0.13234	0.992705	0.771852
Z	G	0.115551	0.712648	0.2549
C	E	0	0.491396	0.512207
C	F	0.402257	0.718623	0.524052
A	Y	0.697238	0.188223	0.386742
A	F	0.270241	0.643082	0
D	E	0.307484	0	0.154404
D	F	0.608928	0.030789	0.153939
Z	E	0.811892	0.504266	0.214645
D	Y	0.409944	0.017241	0
Z	E	0.925389	0.154462	0
B	E	0	0.54129	0.62667
A	E	0.806556	0.272145	0.486426
C	E	0.592744	0	0
B	Y	0.593083	0.113116	0
B	Y	0.345997	0.239959	0.667386
B	G	0.463552	0.346724	0
Z	F	0.49063	0.498755	0.100319
B	F	0.396322	0.720389	0.454342
A	H	0.089024	0.346118	0.576863
Z	G	0	0	0.130921
A	F	0	0.46225	0.485298
A	E	0	0	0
D	E	0.828959	0.373916	0.024433
D	Y	0	0.683619	0
A	F	0.758042	0.287948	0.93706
A	Y	0.78949	0	0
A	E	0.996674	0.010173	0.555685
A	F	0.61483	0.336633	0.603652
A	Y	0.90896	0.605146	0.959301
A	F	0.552772	0	0.050023
Z	Y	0.46501	0.874213	0.434806
A	Y	0.38279	0	0
B	Y	0.758679	0	0.639911
A	Y	0.88157	0	0
B	G	0.702665	0.377466	0.048923
A	E	0	0.541036	0
B	G	0.119911	0.75316	0
C	G	0.443446	0	0
Z	E	0.424744	0.202612	0
C	Y	0.411274	0.655608	0.245043
Z	E	0.477995	0.929058	0
Z	F	0.935712	0.107992	0.224415
A	E	0.806668	0	0
Z	G	0.267397	0	0
Z	Y	0	0.318976	0.40836
